,_id,length,n_geospans
656,3274039,25305,9
657,4992883,43292,107
658,3544601,36375,86
659,3530552,32810,54
660,4079230,38117,57
661,5152897,16960,8
662,4790846,29944,6
663,5625779,26605,9
664,1480495,33946,28
665,4026135,36529,30
666,6417404,26774,14
667,4949237,42856,54
668,4344713,22872,39
669,6416304,29440,15
670,5755757,59630,1
671,3753314,64404,3
672,5180161,28940,66
673,6291161,59681,9
674,4062492,22179,55
675,4239030,36292,6
676,5033453,30626,136
677,3320638,28392,32
678,4829043,28887,38
679,1475787,25322,36
680,4683078,35462,110
681,6255801,46115,29
682,3686729,29213,11
683,3982105,43787,37
684,3720577,33443,8
685,4475365,42730,141
686,4031070,28105,41
687,5453478,78787,38
688,5838053,60572,65
689,4570391,29152,11
690,6167970,59204,132
691,6200921,44220,32
692,3591766,16069,54
693,6355713,39270,27
694,5970551,77951,34
695,6137159,23884,5
696,3686186,35380,82
697,3393698,25101,85
698,6150253,39047,184
699,6252068,51819,42
700,5889191,42836,143
701,3374614,49151,8
702,4024117,18403,8
703,3904951,56328,19
704,3163590,60272,289
705,3723670,32122,25
706,6194565,38932,29
707,4117546,31930,42
708,4334595,17170,9
709,5804130,22789,48
710,4346794,19683,40
711,3163582,32901,36
712,6152962,42800,165
713,3286251,25928,33
714,3545854,34074,19
715,3087796,41482,32
716,5228456,35205,109
717,3342321,51655,88
718,3508930,70080,167
719,5674050,25080,60
720,4999531,56562,105
721,3188517,37530,27
722,5816111,19441,12
723,3386486,29157,98
724,2898037,18653,57
725,4468869,60191,30
726,2754530,47094,112
727,5235366,74620,156
728,4063480,66111,222
729,3151241,40597,29
730,420068,18656,17
731,4829693,49330,29
732,5790871,44846,13
733,3287378,35276,65
734,3281211,40182,23
735,3076564,26178,46
736,5647130,29363,3
737,1242345,9367,2
738,6002991,32646,36
739,5481369,39843,91
740,4370824,34501,28
741,5585691,47502,20
742,4621511,33750,47
743,3532504,45133,74
744,4511516,35545,36
745,6314633,61091,46
746,4108128,38347,130
747,5478082,30362,83
748,6035214,26781,50
749,6144990,37924,74
750,4776910,44824,86
751,5258804,31634,10
752,5160005,21335,13
753,4262363,30780,13
754,6363761,49582,25
755,4569889,43123,55
756,4381092,94980,521
757,4929921,29587,21
758,6249212,39205,17
759,3374617,48486,9
760,6244297,27260,24
761,4778458,29035,22
762,3678492,35401,113
763,3982960,50349,118
764,5487779,20696,28
765,4483644,33583,25
766,5450352,44742,50
767,3619665,56277,13
768,3678333,39841,34
769,6112272,27322,34
770,3499862,31256,22
771,4771134,44597,23
772,5930333,53665,63
773,3751091,22946,115
774,3867321,54141,188
775,3438100,27839,65
776,5762987,14600,41
777,3669100,35445,83
778,4112215,45779,28
779,4860695,34780,94
780,4143858,22505,30
781,5919074,65375,18
782,4926661,53269,171
783,5356341,24370,34
784,3138026,24781,11
785,5519570,48520,111
786,5128747,21848,27
787,5697434,28673,116
788,6385184,45232,14
789,2805672,36976,25
790,5136663,16726,37
791,6408798,20398,56
792,3534081,38246,55
793,5880063,34431,41
794,5345125,56542,17
795,6079587,13509,24
796,4078730,15360,35
797,4909198,42340,19
798,3841148,25469,15
799,4477298,27587,115
800,3990644,37798,19
801,4565707,33306,19
802,4154810,24298,10
803,5495867,46144,31
804,3899269,34785,18
805,6111474,38047,2
806,3391285,36812,14
807,5345093,31867,24
808,4309611,40802,19
809,4850476,27805,22
810,3879102,15209,55
811,4588645,41956,149
812,5745187,6282,22
813,3376113,38803,35
814,5135815,24720,74
815,5355475,64176,44
816,5984304,21136,64
817,3093381,33879,53
818,3540672,26197,6
819,6218554,38863,16
820,6383829,41380,26
821,3888726,41207,65
822,2889845,30605,68
823,5326797,51872,21
824,5590976,36327,25
825,4369868,23457,106
826,6097749,22901,26
827,5303256,44907,248
828,4724075,53724,77
829,4987047,24953,52
830,4082704,44007,57
831,6124094,23717,55
832,3418184,31105,8
833,5533426,17144,2
834,2808895,16114,8
835,4768095,29613,15
836,5461779,21650,34
837,4153567,20664,9
838,5673833,11381,48
839,4367993,30374,52
840,4446285,17720,32
841,5805442,20517,9
842,3667383,31448,82
843,5636854,28449,24
844,3388060,34473,24
845,4440269,24850,65
846,3024231,49811,58
847,3827236,36819,51
848,4941689,94708,63
849,5296934,17161,4
850,4651346,31909,18
851,4877357,37643,51
852,4642556,19429,26
853,3699605,17045,7
854,3403851,48347,24
855,4580454,70468,15
856,5435042,27394,3
857,4926710,28613,143
858,3197521,39945,11
859,5821441,55570,40
860,3077006,16257,9
861,5237492,29692,35
862,4586641,49990,86
863,4297049,24744,8
864,3658278,64967,58
865,5598238,36331,26
866,5018474,34020,39
867,5558003,31107,32
868,4132400,23277,11
869,3749795,16373,14
870,4260210,17569,106
871,4028869,27860,8
872,6327027,41783,13
873,5522409,24206,52
874,4737851,39800,19
875,3673481,69249,132
876,3584084,36232,10
877,5030223,36304,34
878,3448906,29656,82
879,5870821,43060,32
880,4684318,54025,8
881,2751826,39696,12
882,2823172,19291,13
883,5179068,49797,39
884,6048033,31622,21
885,5938449,29219,25
886,3358933,9674,2
887,5362992,24768,105
888,4377292,18478,62
889,4893334,51590,58
890,3847043,25130,55
891,5812944,43409,109
892,3352532,36618,47
893,2799673,51409,11
894,6355766,18499,26
895,4984522,44908,228
896,3353290,30802,31
897,5332152,22137,34
898,4861517,22349,71
899,4250055,45547,45
900,3543234,48159,81
901,6134326,18101,6
902,4207678,23108,71
903,4167857,24880,26
904,4447408,31786,39
905,3724155,14078,39
906,4437653,56546,21
907,5349674,66582,34
908,6282324,47464,33
909,1392226,34135,23
910,4910229,32662,20
911,3377609,29966,64
912,4975878,64007,90
913,3441398,25857,117
914,3562551,39806,20
915,6210248,35836,37
916,3843706,59187,65
917,2848157,34408,32
918,5678892,213007,695
919,4460132,31516,57
920,6109050,35328,13
921,6023211,25835,0
922,5421315,37645,40
923,3364145,32033,10
924,4877094,38412,59
925,4241804,39747,37
926,5645869,29185,45
927,4215838,40069,20
928,4992805,13570,16
929,3201688,14419,21
930,6107281,35059,77
931,2951103,15186,6
932,4070707,28197,48
933,4254453,44074,24
934,5898940,27179,13
935,4182500,29850,52
936,3662394,22671,75
937,5552863,35272,25
938,4287492,21015,39
939,5895666,27162,32
940,4160255,20374,44
941,4386039,11229,13
942,5757420,14376,51
943,5156864,18174,91
944,6291088,42798,61
945,5144084,24279,108
946,6426878,30249,244
947,4166725,64307,187
948,4523815,44749,16
949,5537078,13145,78
950,4902508,20626,11
951,4557929,39948,196
952,3446192,11904,4
953,5931989,32469,3
954,4105623,46530,203
955,5960264,25443,23
956,3741518,85669,766
957,5773528,66719,11
958,5732528,38178,56
959,4528193,57734,7
960,4506785,22526,10
961,2559846,34847,22
962,5857133,49663,12
963,5240160,17527,50
964,5299649,32881,45
965,5361185,23851,46
966,2844410,47720,38
967,3554508,42301,16
968,3426256,20895,16
969,5348124,19736,29
970,3749444,26996,18
971,5923613,29150,25
972,5069308,31063,7
973,5469747,34175,114
974,5776895,14855,34
975,5944909,35601,47
976,2744769,47773,55
977,3812097,10520,6
978,5486257,17275,15
979,3652831,35309,12
980,5867346,28298,26
981,59655,14693,22
982,5507160,27269,18
983,5024994,31451,46
984,5330903,24247,23
985,6353167,39700,117
986,6316128,31900,95
987,6286517,29457,27
988,4942009,21893,28
989,2682572,39107,9
990,4553936,21699,27
991,6091951,66530,58
992,4567885,38588,19
993,6339124,25833,37
994,5687881,27448,19
995,6054685,40344,27
996,4981311,39348,57
997,4985811,25934,4
998,5207529,37535,19
999,6387132,26275,13
1000,4804553,17611,55
1001,3996087,22264,42
1002,6378045,34416,28
1003,3011831,16430,61
1004,4971674,21514,49
1005,3925300,47571,66
1006,4736163,20113,22
1007,6220510,34307,44
1008,4659615,37951,80
1009,5430838,25944,22
1010,4762241,27385,15
1011,5632920,20527,78
1012,2958336,19774,75
1013,3679800,50621,58
1014,3734204,15169,59
1015,5696435,46221,39
1016,4644628,32046,25
1017,3810542,17823,16
1018,6037708,25966,83
1019,5149473,20617,2
1020,4829227,22012,39
1021,6194468,23244,11
1022,4864277,43056,16
1023,3681669,41616,48
1024,4213497,34518,36
1025,2881901,32022,39
1026,6246977,22751,28
1027,5025212,25256,19
1028,4263060,27204,23
1029,4110017,23048,6
1030,4324784,25281,107
1031,5866716,29370,14
1032,3488675,33024,25
1033,4898425,31241,87
1034,5453567,25857,13
1035,5137025,34594,35
1036,3256173,20064,9
1037,4204870,36694,37
1038,3688903,26016,9
1039,4005746,42172,35
1040,3651385,22186,99
1041,6193992,38812,33
1042,4552758,79060,105
1043,5923020,29114,34
1044,4794859,20950,19
1045,4866340,9131,14
1046,5913565,10533,27
1047,4410203,26992,60
1048,6007631,20691,40
1049,5078919,28328,15
1050,5471724,50960,87
1051,6014044,36224,42
1052,5452376,34920,49
1053,5551168,26552,49
1054,5656610,25996,6
1055,3649954,25073,68
1056,5859815,23986,20
1057,3141653,21828,6
1058,4824494,13187,20
1059,4295270,30648,19
1060,1550388,21561,77
1061,4690316,23608,40
1062,5751996,45066,224
1063,5406880,39305,77
1064,4743403,27354,2
1065,4059990,38452,13
1066,4712491,32743,71
1067,5500929,33480,33
1068,4648153,7322,29
1069,4035672,42794,33
1070,6350353,56792,36
1071,5506510,54126,33
1072,5476808,20215,21
1073,5780677,28756,83
1074,5626785,54068,34
1075,3156131,40933,87
1076,4478007,38554,19
1077,5815048,18752,43
1078,3726729,19035,44
1079,4806519,28129,46
1080,5360035,23705,60
1081,3415110,25022,32
1082,3997880,14823,11
1083,6242357,43486,49
1084,5560231,40776,27
1085,4642624,21979,20
1086,3097888,37451,24
1087,5021828,32119,25
1088,5557565,25981,128
1089,4349819,36792,24
1090,6396892,7344,5
1091,4276015,29647,11
1092,6249405,31613,33
1093,3162569,22820,44
1094,3841903,13618,18
1095,4738708,12184,34
1096,5336646,58737,158
1097,4924834,50122,56
1098,5991846,19786,14
1099,4650681,18417,5
1100,5830728,46838,65
1101,4455791,30771,8
1102,5395659,59345,29
1103,4273531,16115,63
1104,3162927,6441,15
1105,6250544,26376,25
1106,6362071,31888,15
1107,5607216,56084,218
1108,3909193,30806,43
1109,3576296,26523,26
1110,4856840,39223,98
1111,4811293,45843,81
1112,3573472,25467,14
1113,3177874,46025,112
1114,4488351,32719,9
1115,6171458,26627,201
1116,3913612,31013,12
1117,5883360,54169,32
1118,5732545,36541,23
1119,4962404,35151,35
1120,5428662,28281,14
1121,4559953,40009,35
1122,4350093,26585,33
1123,6044267,38951,44
1124,3917896,39716,15
1125,4936789,30117,17
1126,5094142,25200,40
1127,5223590,23686,82
1128,6296084,37274,58
1129,4981403,63929,230
1130,5290328,38701,54
1131,3641111,42053,17
1132,3873379,39694,58
1133,5645695,32660,23
1134,3975625,25604,6
1135,6434582,32614,176
1136,5858365,48015,18
1137,5748789,21768,8
1138,3897072,18036,18
1139,5388993,35107,48
1140,2724646,10626,10
1141,6111247,44274,25
1142,6191245,25961,20
1143,3945569,36619,68
1144,4454569,31512,28
1145,5964643,43372,43
